"city","data_source","Var_p","Var_W"
"Asuncion","gleam-v4-1a",NA,65453.1864555497
"Asuncion","mswep-v2-8",64077.0833162791,69486.4208530127
"Asuncion","terraclimate",62528.6689503171,19741.6549408034
"Athens","era5-land",7920.64291902748,4506.47189106765
"Athens","gleam-v4-1a",NA,5508.725475
"Athens","mswep-v2-8",9992.58093673362,6299.34951390063
"Athens","terraclimate",8944.7186788055,2987.34758287526
"Baghdad","era5-land",3382.90914630021,1875.99146231501
"Baghdad","gleam-v4-1a",NA,1382.98051263214
"Baghdad","mswep-v2-8",2804.47977859408,1073.24163171247
"Baghdad","terraclimate",1276.15159809725,3.22468641649049
"Baku","era5-land",3161.42198874207,7282.63196448203
"Baku","gleam-v4-1a",NA,5426.18614799154
"Baku","mswep-v2-8",2005.33125554968,4515.55155961945
"Baku","terraclimate",2668.9517904334,233.884272463002
"Bamako","era5-land",13422.3200352537,15480.1788627378
"Bamako","gleam-v4-1a",NA,14515.3478067653
"Bamako","mswep-v2-8",12388.8447887421,7450.99633023256
"Bamako","terraclimate",13767.4487811311,7590.70261664905
"Bangalore","era5-land",32447.7263672304,24382.4481418076
"Bangalore","gleam-v4-1a",NA,21975.7490678647
"Bangalore","mswep-v2-8",30714.149360888,29953.2321122093
"Bangalore","terraclimate",28015.9982441332,9238.51710036998
"Bangkok","era5-land",34414.8074136892,23073.7480974101
"Bangkok","gleam-v4-1a",NA,29500.5393925476
"Bangkok","mswep-v2-8",33712.4223255814,31258.4481020613
"Bangkok","terraclimate",32138.5502968288,20538.045369556
"Barcelona","era5-land",16662.9604208774,13066.9359819767
"Barcelona","gleam-v4-1a",NA,8670.89407077167
"Barcelona","mswep-v2-8",13130.4877650634,8987.68061115222
"Barcelona","terraclimate",12308.5604855708,5403.40386020085
"Beijing","era5-land",17247.3943726744,14836.8393096723
"Beijing","gleam-v4-1a",NA,11310.1526276427
"Beijing","mswep-v2-8",21884.5511780127,18338.6803215116
"Beijing","terraclimate",12301.317720296,5170.57294820296
"Beirut","era5-land",28215.681234408,19017.9916936047
"Beirut","gleam-v4-1a",NA,52123.0602437104
"Beirut","mswep-v2-8",40805.9036501057,36625.9341687104
"Beirut","terraclimate",56150.3346204545,49173.2773329281
"Bekasi","era5-land",183821.369189641,169367.084461469
"Bekasi","gleam-v4-1a",NA,97993.8458301797
"Bekasi","mswep-v2-8",108012.110452431,113586.178809725
"Bekasi","terraclimate",93263.9349227801,58792.154177167
"Belgrade","era5-land",19274.2084023256,10833.2217126321
"Belgrade","gleam-v4-1a",NA,12847.8877413848
"Belgrade","mswep-v2-8",17159.9322986786,16517.9156707717
"Belgrade","terraclimate",13156.4727701374,3419.26152135307
"Belo Horizonte","era5-land",70666.2272084567,67144.5371084567
"Belo Horizonte","gleam-v4-1a",NA,98975.3936627378
"Belo Horizonte","mswep-v2-8",87045.2303498414,99848.535392389
"Belo Horizonte","terraclimate",90207.9807991543,96215.5763575053
"Berlin","era5-land",10687.4244707717,6640.8985160148
"Berlin","gleam-v4-1a",NA,11188.8000875264
"Berlin","mswep-v2-8",8545.73132827696,12250.6893951374
"Berlin","terraclimate",7543.21585174419,2319.52658985201
"Bishkek","era5-land",23904.6496131078,12635.6464934461
"Bishkek","gleam-v4-1a",NA,7275.7007602537
"Bishkek","mswep-v2-8",7032.94317478858,5968.02033673362
"Bishkek","terraclimate",7301.59427103594,2297.3612352537
"Bogota","era5-land",87818.5650714588,80349.0733232029
"Bogota","gleam-v4-1a",NA,45351.1464508985
"Bogota","mswep-v2-8",40972.0440162262,42697.2088999471
"Bogota","terraclimate",46671.2309823996,42083.5946027484
"Brasilia","era5-land",58090.5613122093,59042.4028966173
"Brasilia","gleam-v4-1a",NA,58329.9074948732
"Brasilia","mswep-v2-8",74436.4363137421,87966.1361128964
"Brasilia","terraclimate",47522.3722530127,54422.3212803383
"Brazzaville","era5-land",11516.9782276427,9538.65130882664
"Brazzaville","gleam-v4-1a",NA,26987.5212580867
"Brazzaville","mswep-v2-8",12723.2413692918,12596.2420665962
"Brazzaville","terraclimate",26604.3627744186,22355.6492384778
"Brussels","era5-land",9765.51521331924,8753.42483424947
"Brussels","gleam-v4-1a",NA,14386.6952859937
"Brussels","mswep-v2-8",9691.45035052854,15441.508261945
"Brussels","terraclimate",9582.17179339323,5630.69228176533
"Bucharest","era5-land",20549.4926221987,14695.6931175476
"Bucharest","gleam-v4-1a",NA,7042.54104455603
"Bucharest","mswep-v2-8",15878.8898301797,11420.5276437104
"Bucharest","terraclimate",11598.0773439218,2661.46293890063
